Tweet;Created at;User;ID;Reply to;Text;Hashtags;Cyberbullying;Strength;Hate Speech;Topic
4165;13.11.18 17:31;bigjet_;1,06E+18;NA;According to the hateful misogynist Sharia, a man can rape his wife. Sharia Islam Sharia Kills Ban Sharia Stop Islam d;Sharia, Islam, ShariaKills, BanSharia, StopIslam;1;3;1;REL
5851;12.11.18 22:30;kawhtweet;1,06E+18;djlavoie;Sickening. Sad. Tragic. Pay attention, you who say all is equal. Black Lives Matter;BlackLivesMatter;0;0;0;0
5589;13.11.18 01:12;RevJohnHMoore1;1,06E+18;NA;It should go without saying Equalithank you For All Black Lives Matter Blue Wave2018 End Racism;EqualityForAll, BlackLivesMatter, BlueWave, EndRacism;0;0;0;0
6407;12.11.18 17:58;ivstaikova;1,06E+18;NA;book: Elections USA, Turkey, Austria.Clairvoyant/Psychic predictions: Black Lives Matter, The Coup in Turkey?;BlackLivesMatter;0;0;0;0
6159;12.11.18 19:55;Wiliame1;1,06E+18;NA;happyveteransday salutetoservice blacksoldiers blackveterans salute army navy blacklifesmatter;happyveteransday, salutetoservice, blacksoldiers, blackveterans, salute, army, navy, blacklifesmatter;0;0;0;0
4114;13.11.18 17:54;BabyboomerH;1,06E+18;NA;Bullying Prevention Month Bullying Teachers back School Unite to end bullying in our schools. Reading and disc;BullyingPreventionMonth, Bullying, Teachers, BackSchool;0;0;0;0
8382;11.11.18 06:20;Hope4Siblings;1,06E+18;NA;bullying depression What happened in childhood in regard to an abusive sibling, often goes into adulthood.;bullying, depression, RT;0;0;0;0
4327;13.11.18 16:24;EveAinsworth;1,06E+18;NA;Also I was a victim of prolonged bullying too. I often think it helped shape and mould me into the person I am now.;NA;0;0;0;0
4630;13.11.18 14:27;KirkleesCouncil;1,06E+18;NA;If you need help or advice about bullying- Do n't keep it to yourself. Here are some numbers you can call p. p.. remem;bullying;0;0;0;0
5682;13.11.18 00:17;KatiePaceTX;1,06E+18;NA;Read thisyour jaw should drop. Black Lives Matter Officer shoots, kills armed securithank you guard outside south suburb;BlackLivesMatter;0;0;0;0
5162;13.11.18 06:52;cgp123456;1,06E+18;NA;Where are your street patrols. Why did this man feel safe enough in your thank you to walk around sexually ab;NA;0;0;0;0
8991;10.11.18 16:42;Safoo516;1,06E+18;NA;People are suffering and you reply with Poor forest management?! Yeah your poor management you cut the budget for;NA;1;2;0;ECO POL
6741;12.11.18 15:11;LucyC_MLP;1,06E+18;NA;It is Anti Bullying Week this week p. but what is the difference between banter and;AntiBullyingWeek, banter;0;0;0;0
5349;13.11.18 04:05;Suzetteluv;1,06E+18;shaunking;Too sad. NRA IsA Terrorist Organization Black Lives Matter;NRAIsATerroristOrganization, BlackLivesMatter;0;0;0;0
8039;11.11.18 16:21;76rooster;1,06E+18;NA;Did not realize how many were elected Ban Islam No Sharia;BanIslam, NoSharia;0;0;0;0
7535;12.11.18 01:48;MG_WELLS;1,06E+18;NA;LIGHTMASTERS 13 by Action Adventure Fantasy Magic Mystery! arms bbc ian boo;LIGHTMASTERS, asmsg, rrbc, ian;0;0;0;0
7964;11.11.18 17:37;TheMuslimHippie;1,06E+18;NA;And important picture that we see often ignored or under appreciate Bullying has long term effects our physicaland mental;Bullying;0;0;0;0
8405;11.11.18 05:29;RobertSwiftNBA;1,06E+18;Kings4Life2k17;Sorry. Am I not allowed in this conversation? bully boy;bully;0;0;0;0
7058;12.11.18 11:33;MJASpeakers;1,06E+18;NA;Disney teen pop star and antibullying icon, Meredith O'Connor, over-delivers in` You Are Not Alone d'. To book mere;antibullying;0;0;0;0
7062;12.11.18 11:29;KamatomoT;1,06E+18;NA;Here is a blow( written in Japanese) I updated 2018111e12. schooltrip elementaryschool;schooltrip, elementaryschool;0;0;0;0
7284;12.11.18 08:03;afr0rican;1,06E+18;NA;naaah: More than 1790000 African Americans served in the Union Army. 20.000 to 303000 served in the Union Navy.;NA;0;0;0;0
8358;11.11.18 07:16;buterassblossom;1,06E+18;NA;October 2016: Lady Gaga releases Angel Down, a song inspired by the death of drayton Martin and Black Lives Matter ht;BlackLivesMatter;0;0;0;0
8426;11.11.18 04:47;TheBeardedDre;1,06E+18;NA;Every day until their murderers are in jail Justice For Alva brazil Justice For Alton Sterling;JusticeForAlvaBraziel, JusticeForAltonSterling;0;0;0;0
7959;11.11.18 17:47;hayorpor;1,06E+18;NA;Man Breaks Girlfriend is Leg for Cooking Pasta Badly Bully Daily Mail Metro News Digest;Bully, DailyMail, Metro, NewsDigest;0;0;0;0
6806;12.11.18 14:13;haandleonit;1,06E+18;NA;bullying: pksafethank you Our pleasure! Thank you for supporting us- love the video btw<:)> bullying haandleonit;bullying, haandleonit;0;0;0;0
7796;11.11.18 20:50;hanjangho76;1,06E+18;NA;The real story of America is White Lives Matter. Native American Heritage Month;WhiteLivesMatter, NativeAmericanHeritageMonth;0;0;0;0
4866;13.11.18 11:50;crocitation;1,06E+18;NA;Appreciate every American that voted blue, patriots defending our Constitution. entice human-rights alu ltq;endice, humanrights, aclu, LGBTQ;0;0;0;0
8887;10.11.18 18:32;KweenPL;1,06E+18;NA;No one is safe in America until ALL MEN are profiled equally. Stop the killing of Blacks, Jews, Students, Children.;NA;0;0;0;0
6925;12.11.18 13:01;CloudAngel7;1,06E+18;NA;Ive Reeeeally had enough of my 7 year old getting bullied p. this week Im at the school office EVERY day!!!!;NA;0;0;0;0
5160;13.11.18 06:52;TheLivesThatMtr;1,06E+18;NA;Say their name. jamais Hall, 2015003227 Black Lives Matter.;BlackLivesMatter;0;0;0;0
8510;11.11.18 02:06;CaseofBlueballs;1,06E+18;NA;Yo mama said, inc will soon be sending out candidate invitations! BLM Black Lives Matter Blue Lives Matter;DNC, BLM, BlackLivesMatter, BlueLivesMatter;0;0;0;0
6337;12.11.18 18:30;SchoolRidgeway;1,06E+18;NA;Throughout this week, our lessons and activities will be fobebecauseing on bullying, the effects it has, and how we can;bullying;0;0;0;0
8092;11.11.18 15:08;CATHDISCBTON;1,06E+18;NA;Drew yeh. Brighton illustrator illustration instant instaartist tattoo tattooart she punk skateboard;Brighton, illustrator, illustration, instaart, instaartist, tattoo, tattooart, sxe, punx, skateboard;0;0;0;0
8483;11.11.18 02:44;hammidahs;1,06E+18;NA;Do n't let the comment of others be your reason for failure. Exbebecausees are very easy to pluck, but convincing the rea;failure;0;0;0;0
5390;13.11.18 03:16;DeclanMcGeese;1,06E+18;BalconyIsClosed;finnigan Gooding munches disfigured incest blacklivesmatter;blacklivesmatter;0;0;0;0
4690;13.11.18 13:52;PhoenixAnne;1,06E+18;NA;First 500 letters in support of Darius have been sent to the office of!! Let him know you also support fre;NA;0;0;0;0
7263;12.11.18 08:30;hantslibraries;1,06E+18;NA;12716 November is Anti Bullying Week We have books that might help if your child is being bullied, or are;NA;0;0;0;0
5828;12.11.18 22:47;BottyProductio1;1,06E+18;NA;This is fucked up. I mean, REALLY fucked up. Black Lives Matter;BlackLivesMatter;0;0;0;0
8645;10.11.18 23:10;LoveIrreverence;1,06E+18;NA;The probablylem here is the same people who do n't have a probablylem with police killing people of color actually celebrate;NA;0;0;0;0
7217;12.11.18 09:18;haandleonit;1,06E+18;NA;bullying: Dame Kellys Trust: In Anti Bullying Week our Communithank you Champion mecca blows about how she delivered ant;AntiBullyingWeek;0;0;0;0
7759;11.11.18 21:17;BLMLansing;1,06E+18;NA;Of course, the officer we spoke to compared the hate of his badge to our blackness, Coleman said. We will not be silence;NA;0;0;0;0
5091;13.11.18 08:03;afr0rican;1,06E+18;NA;Kamala Harris: Now this is Black Girl Magic all 19 Black women who were running to become judges in Harris Count;BlackGirlMagic;0;0;0;0
6900;12.11.18 13:18;W_Angels_Wings;1,06E+18;NA;Claire kidney was the Grim Reaper. She was in fact, death in a mini skirt. re-release ama;newrelease;1;2;1;CHA GEN
5117;13.11.18 07:45;Hope4Siblings;1,06E+18;NA;abuse bully bullying child abuse SIBLING ABUSE SURVIVOR blow;abuse, bully, bullying, child;0;0;0;0
5106;13.11.18 07:57;jennyberryacevo;1,06E+18;NA;"Its antibullyingweek2018 bullying can make you feel lonely, anxious, depressed& amp; isolated. But know that its the but";antibullyingweek, bullying;0;0;0;0
5196;13.11.18 06:10;Sejal1490;1,06E+18;itsRealZaid;This marathon kahavaat suits her the best p. she is actually keira ki;NA;0;0;0;0
6945;12.11.18 12:49;Peoplepluscymru;1,06E+18;NA;It is Anti Bullying Week As part of our pledge and the Wales Wellbeing Act 2015, we have a seepage dedicate;AntiBullyingWeek;0;0;0;0
5394;13.11.18 03:13;ezra_lime;1,06E+18;NA;Looks like we have another barbecue bethany you on the scene, complaining the students were rowdy and then singling out a black;BarbequeBetty;0;0;0;0
6012;12.11.18 21:12;CarinMarais;1,06E+18;CarinMarais;So, to end, I d like to say, to everyone being bullied< d:> this darkness will pass. You are stronger than you could ev;bullied;0;0;0;0
5614;13.11.18 00:55;siwaandsharm;1,06E+18;NA;This is heart breaking. Black Lives Matter;BlackLivesMatter;0;0;0;0
9110;10.11.18 15:04;sarah_margolis;1,06E+18;NA;This is disgusting. It must stop. Black Lives Matter;BlackLivesMatter;0;0;0;0
6772;12.11.18 14:40;MJASpeakers;1,06E+18;NA;Harold` lefthand you d' Williams- the first left-handed Harlem Globetrotters- spreads his message to kids throughout the;Globetrotters, kids;0;0;0;0
8029;11.11.18 16:35;polyannatweets;1,06E+18;NA;If you think we dont have a bully and gossip probablylem in the lifesthank yule( and other sexsubcultures) you are fool;bully, gossip, lifestyle, sexsubcultures;0;0;0;0
7243;12.11.18 08:52;DramaFreeLeo;1,06E+18;NA;if your not sure what to do and you feel stuck, or dont have words because of how tragic this is, or just dont know how;NA;0;0;0;0
6097;12.11.18 20:29;KMoney40209876;1,06E+18;NA;Word is has declared Chapter 7 Bankruptcy in response to the devastating LOSS to the FTC!! donthcon;donthcon;0;0;0;0
7382;12.11.18 05:33;marinabreeze;1,06E+18;KrollMarianna;Facts do n't care about your feelings. Not everything is about you. Black Lives Matter dance Jones;BlackLivesMatter, DanyeJones;0;0;0;0
8567;11.11.18 00:56;TexanAk87;1,06E+18;NA;Black men y all paying to be called nigger but marching and protesting blacklivesmatter shit?!!!;blacklivesmatter;1;2;1;RAC
7916;11.11.18 18:26;PhilNaylor2;1,06E+18;NA;"Do n't forget bully too! Seriously; he displays all the attributes of a classic playground bully.";bully;0;0;0;0
5827;12.11.18 22:48;CarlyKempler;1,06E+18;NA;TONIGHT on your News at Six, hear from students and administrators in Greene Counthank you Public Schools who are w;NA;0;0;0;0
7060;12.11.18 11:30;Mental_Elf;1,06E+18;NA;Looking for high qualithank you research to inform your Anti Bullying Week activities? Look no further! The elves have got;AntiBullyingWeek;0;0;0;0
5238;13.11.18 05:31;JoshinSFU;1,06E+18;NA;How colonial violence came home: the ugly truth of the first world war. Remembrance Day Armistice Veterans Day;RemembranceDay, Armistice, VeteransDay;0;0;0;0
8608;11.11.18 00:00;LynchedToday;1,06E+18;NA;Henry led- lynched today in 1908 in silopi Mississippi Black Lives Matter;Mississippi, BlackLivesMatter;0;0;0;0
6976;12.11.18 12:25;FrodshamCE;1,06E+18;NA;We pledge to choose RESPECT Odd Socks Odd Socks Day Anti Bullying Week Bullying Cyberbullying Choose Respect;RESPECT, OddSocks, OddSocksDay, AntiBullyingWeek, Bullying, Cyberbullying, ChooseRespect;0;0;0;0
4273;13.11.18 16:49;AnteMemoriam;1,06E+18;NA;"The disgusting Sharia is well& amp; alive in the West. A fresh case of a Muslim supporting JIHAD from the US shows that";NA;1;3;1;REL
4726;13.11.18 13:26;qf_sick;1,06E+18;realDonaldTrump;"& amp; are back doing their bullying paid by sorazzzzz p. p.";bullying;0;0;0;0
4759;13.11.18 13:10;rachren1;1,06E+18;NA;YET THEY BROUGHT ALL OF THE WHITE actual SHOOTERS IN UNHARMED AND ALIVE This madness has got to fucking end;NA;0;0;0;0
8254;11.11.18 10:06;msthurman0561;1,06E+18;NA;Robert Reich: Trump is 30 Biggest Broken Promises mama Resist Blacklivesmatter ltq;MAGA, Resist, Blacklivesmatter, LGBTQ;0;0;0;0
8472;11.11.18 03:02;tausimogakaress;1,06E+18;NA;kill us all..for without trying..we outshine you..origin..and your children know it p. and then we all others do.;origin;0;0;0;0
5907;12.11.18 21:57;Dusti_Backup;1,06E+18;chicagotribune;What About The Murders? fbi Bullets Kill Faster Than tapes When will;WhatAboutTheMurders, BulletsKillFasterThanVapes;0;0;0;0
7429;12.11.18 04:13;WomanWarrior17;1,06E+18;NA;i saw his mothers casebook post. and im in fucking tears. nobody. NOBODY deserves this. i fucking HATE that were all;NA;0;0;0;0
5891;12.11.18 22:04;viva_la_annikaa;1,06E+18;NA;This is absolutely disgusting. Where is the NRA to support his right to carry? Trigger happy cops are why I all fore;NA;0;0;0;0
7542;12.11.18 01:40;ravenishot;1,06E+18;NA;women. blackwomen. blackgirlmagic. blacklivesmatter. blackmore. singlelife. single. tallgirllsrock.;women, blackwomen, blackgirlmagic, blacklivesmatter, blacklove, singlelife, single, tallgirllsrock;0;0;0;0
8193;11.11.18 12:20;charleyeg;1,06E+18;NA;I mm finding it strangely ironic those who repeated the gutter press unsubstantiated allegations of;NA;0;0;0;0
5278;13.11.18 05:02;realpestilence;1,06E+18;NA;This hero is yet another black man slaughtered by cops. If he had been white, they would have paused long enough to;NA;0;0;0;0
8655;10.11.18 23:00;CartelKennel;1,06E+18;NA;Bigg Blue headed to Canada Today Cartel Empire Kennel muscled;muscledog;0;0;0;0
6825;12.11.18 14:05;DrUmeshPrabhu;1,06E+18;ShaunLintern;Complaints is a small bit of the jigsaw puzzle. LEADERSHIP is honesthank you sincerithank you into;LEADERSHIP;0;0;0;0
6607;12.11.18 16:30;Nelso641;1,06E+18;NA;That moment when you realize we got rid of black joshi for another green Yoshi.Black Lives Matter taxevasion;BlackLivesMatter, taxevasion;0;0;0;0
6174;12.11.18 19:49;ogkeyser;1,06E+18;NA;PROTECT THE TRUMP-RUSSIA PROBE Call Bank America Mob their phones Cost them a fortune until Republicans in Congress;CallBankAmerica;0;0;0;0
7483;12.11.18 03:03;ericsean467;1,06E+18;tomaskenn;The hate of ignorant Bigots racists xenophobic nativist Nationalist deplorable;hate, ignorant, Bigots, racists, xenophobic, nativist, Nationalist, deplorable;1;2;0;CHA
6720;12.11.18 15:25;MJASpeakers;1,06E+18;NA;` I Was Almost A School Shooter d' by. is at 4.8 MILLION VIEWS via.;NA;0;0;0;0
4439;13.11.18 15:50;KattyKissem;1,06E+18;NA;Unbelievable Black Lives Matter This is also why Teachers should Carry Guns;BlackLivesMatter, TeachersShouldntCarryGuns;0;0;0;0
6749;12.11.18 15:03;magdantoine1;1,06E+18;NA;White Lives Matter with Dr. Jacqueline Battalora via;WhiteLivesMatter;0;0;0;0
4755;13.11.18 13:10;wdepoo;1,06E+18;NA;jewel Roberson was shot by a police officer as he was trying to protect people at a bar. Black Lives Matter;JemelRoberson, BlackLivesMatter;0;0;0;0
4638;13.11.18 14:23;marjorieamunroe;1,06E+18;NA;Looking forward to the conversation tomorrow on Bullying in the Workplace at the myc luncheon with Pat F;Bullying, yyc;0;0;0;0
6135;12.11.18 20:07;ogkeyser;1,06E+18;NA;TRUMP HAS TO GO Call Bank America Mob their phones Cost them a fortune until Republicans in Congress Protect Mueller;CallBankAmerica, ProtectMueller;1;4;0;POL
7104;12.11.18 10:58;2ygnus;1,06E+18;2ygnus;Planes wo n't Fly or land Drugs, Medicines, Food embargo No Internet access Banks denying money transactions;NA;0;0;0;0
8394;11.11.18 05:53;BCNewsWire;1,06E+18;NA;Teen apologizes for role in human bridge' bullying video cdnpoli;bullying, cdnpoli;0;0;0;0
4540;13.11.18 15:05;paulormond23;1,06E+18;taylorswift13;check out my my anti bullying novel. Mitch Mythic is a new hero for a digital age.;NA;0;0;0;0
7641;11.11.18 23:41;freedom2debate;1,06E+18;NA;"do actively going after something they made up in their distorted brains Black Identithank you Extremists& amp; used it as a";BlackIdentityExtremists;1;2;0;CHA
8817;10.11.18 19:57;Historicide;1,06E+18;imaniperry;400 years and counting, they do not care about us, they thrive on our suffering, that is;NA;0;0;0;0
4481;13.11.18 15:33;CindySue821;1,06E+18;NA;A Black Securithank you Guard Was Killed By Police As He Tried To Stop A Shooting- Huff Post Black Lives Matter;BlackLivesMatter;0;0;0;0
5593;13.11.18 01:11;md4bernie4prez;1,06E+18;NA;from- BLM blacklivesmatter regain;BLM, blacklivesmatter, regrann;0;0;0;0
8418;11.11.18 05:04;AwarenessPod;1,06E+18;NA;Resilience is the key to fighting the effects of bullying. We need to empower our kids! Find out how now!;bullying;0;0;0;0
6431;12.11.18 17:47;WhitePrivIsReal;1,06E+18;NA;As police departments ignore the power of implicit bias in their officers, political leaders are assuming the posit;NA;0;0;0;0
4455;13.11.18 15:42;hanjangho76;1,06E+18;TalbertSwan;The real story of Evangelical Christianithank you is not All Lives Matter, but White Lives Matter.;AllLivesMatter, WhiteLivesMatter;0;0;0;0
6255;12.11.18 19:11;kidSweater;1,06E+18;NA;Thank for all you offered weeks and needs like me. Thank you for the work you and Jack Kirby did t;JackKirby;0;0;0;0
7139;12.11.18 10:25;wyvernpharmacy;1,06E+18;NA;Bullying can have a significant impact on a child is mental-health. During Anti Bullying Week, get advice on how to;Bullying, mentalhealth, AntiBullyingWeek;0;0;0;0
5952;12.11.18 21:40;SaySomething___;1,06E+18;NA;Students are looking to adults to set the example for treating people kindly. Are you surprised? saysomething;saysomething;0;0;0;0
7553;12.11.18 01:28;CaptainHindsi18;1,06E+18;dougstafford;Where the white women at? blazingsaddles cleavonlittle liberalswillbelieveanything;blazingsaddles, cleavonlittle, liberalswillbelieveanything;0;0;0;0
7612;12.11.18 00:39;allentien;1,06E+18;NA;Bullying is a risk factor for behavioralhealth probablylems such as mild, moderate, and severe depression, and can c;Bullying, behavioralhealth, depression;0;0;0;0
8042;11.11.18 16:19;liberal_in;1,06E+18;NA;Fairytale of Police shooting unarmed black men disproportionately to other race that has clowns like;NA;0;0;0;0
7312;12.11.18 07:40;AnteMemoriam;1,06E+18;NA;` true Islam d' masduki explains what Jihad is, what the aim of Jihad is and that the obligatory carat must go to jihad;NA;0;0;0;0
4315;13.11.18 16:33;project_salus;1,06E+18;NA;Children point finger at adults over bullying via;bullying;0;0;0;0
8362;11.11.18 07:05;tausimogakaress;1,06E+18;NA;myheartbreaks. This was a human being..someone is brotherther, many times father..see how the cycle works? poverthank you;myheartbreaks, poverty;0;0;0;0
8670;10.11.18 22:42;EDDIEBARRETT;1,06E+18;NA;"What a grossly ignorant Gangster& amp; Bully that truly is! Hopefully he will be impeached& amp;";Gangster, Bully, impeached;1;2;0;POL CHA
8422;11.11.18 04:58;CharlieRand9;1,06E+18;NA;Islam at its finest. Another devout Mohammedan emulating his perfect man, Mohammed. STOP Islam vote1ala;STOPIslam, voteala;1;3;1;REL
5752;12.11.18 23:31;rodriguez_linda;1,06E+18;NA;Are police being trained to shoo black people first and ask questions later? This is why we take Knee until;TakeAKnee;1;1;0;ECO
6098;12.11.18 20:28;E3SFund;1,06E+18;NA;Really good reviews of your NEW book Bookshop Day Helping;NEW, BookshopDay;0;0;0;0
4773;13.11.18 13:01;ebonyavaharper;1,06E+18;NA;In good company! resist Rise One Black Lives Matter Sacramento, California;resist, RiseUpAsOne, BlackLivesMatter;0;0;0;0
5837;12.11.18 22:41;freedom_abuse;1,06E+18;NA;"school children are risking taking knives& amp; weapons to school as self protection where they feel unsupported by sch";NA;0;0;0;0
5526;13.11.18 01:50;yikyak;1,06E+18;NA;Please read this thread. blacklivesmatter justicenow;blacklivesmatter, justicenow;0;0;0;0
6578;12.11.18 16:45;MJASpeakers;1,06E+18;NA;lefthand you Williams- the first left-handed showman in Harlem Globetrotters history- makes a difference with kids thr;Globetrotters, kids;0;0;0;0
5903;12.11.18 22:00;ShequalityMatte;1,06E+18;NA;Windrush Generation Liverpool Afrophobia is called out Black lives do n't matter day to day and in Govt estimation. We must al;WindrushGenerationLiverpool;0;0;0;0
5116;13.11.18 07:48;333Cassandra;1,06E+18;NA;This man was not threatening the officer why dint the officer yell freeze and put up your han;NA;0;0;0;0
5290;13.11.18 04:55;TeamStephie;1,06E+18;NA;thread While Black p. Black Lives Matter;WhileBlack, BlackLivesMatter;0;0;0;0
4350;13.11.18 16:15;LiptonLubet;1,06E+18;NA;ENOUGH! My heart is shattered. Black Lives Matter;BlackLivesMatter;0;0;0;0
6977;12.11.18 12:25;ABAonline;1,06E+18;NA;It can be a shock discovering your child is being bullied, but it can also be shocking to discover YOUR child is th;NA;0;0;0;0
7599;12.11.18 00:50;Hope4Siblings;1,06E+18;NA;"bullying child abuse ADULT disabuse Adults often affected with chronic depression& amp; bad relationships. f***";bullying, RT, child;0;0;0;0
7124;12.11.18 10:37;BetweenBorders_;1,06E+18;NA;Bullying has a serious social bebecauset, with a greater risk of poor health, internalised stress, and suicidal ideatio;Bullying, stress;0;0;0;0
9063;10.11.18 15:54;MiMa_Apparel;1,06E+18;NA;Black Lives Matter shirt- blacklivesmatter powertothepeople T-shirt;blacklivesmatter, powertothepeople;0;0;0;0
8221;11.11.18 11:11;ClaraBe49310743;1,06E+18;ron_ronco64;Blacklives Matter too as they are` doing business d' with anti-a- criminals.;BlacklivesMatter, Antifa;0;0;0;0
5021;13.11.18 08:52;OrchaUK;1,06E+18;NA;It is Anti Bullying Week- Our work in schools shows that bullying is the highest search term when looking for apps.;AntiBullyingWeek, bullying;0;0;0;0
7991;11.11.18 17:09;ogkeyser;1,06E+18;NA;A BETTER WAY TO PROTEST Call Bank America Mob their phones Cost them a fortune until Republicans in Congress;CallBankAmerica;0;0;0;0
7953;11.11.18 17:54;ThomasVitins;1,06E+18;NA;Kierkegaard died on this day in 1855. He was a century and a half ahead of his time, perfectly explaining the;Kierkegaard;0;0;0;0
8741;10.11.18 21:20;Ant1L1beraI;1,06E+18;NA;There is no Palestine. Yeah. banislam;Palestine, banislam;0;0;0;0
7921;11.11.18 18:20;mmarief66;1,06E+18;flfirstwives;she a bully and a coward. By the time I finish exposing who she is, mean girlwill be a compliment;NA;1;4;0;CHA
5562;13.11.18 01:28;RisePDX;1,06E+18;NA;Blacklivesmatter while on securithank you p.. wow p. fuck mama;Blacklivesmatter, maga;0;0;0;0
5003;13.11.18 09:14;ExplodeOverton;1,06E+18;NA;"Islam The Problem A violent totalitarian supremacist jew-hating cult akin to Nazism. Obtains& amp; retains followers t";IslamIsTheProblem;1;3;1;REL
6701;12.11.18 15:38;YayYaysKitchen;1,06E+18;NA;Never mind that witnesses TOLD the cop he was a securithank you guard saving lives, police killed him because black.;NA;0;0;0;0
7233;12.11.18 09:00;MMKMind;1,06E+18;NA;This week is Anti Bullying Week2018, so this abu let is ensure that we all do more to address the impact that;AntiBullyingWeek, ABW;0;0;0;0
7919;11.11.18 18:21;flfirstwives;1,06E+18;NA;she a bully and a coward. By the time I finish exposing who she is, mean girlwill be a compliment to her.;NA;1;4;0;CHA
8575;11.11.18 00:45;Npc7772;1,06E+18;realDonaldTrump;If it was n't for your hatred, there would be no fires! Resist Black Lives Matter Orange Man Bad;Resist, BlackLivesMatter, OrangeManBad;1;3;0;POL CHA
7224;12.11.18 09:05;elysiumcare;1,06E+18;NA;Bullying has been linked with depression, anxiethank you, low self-esteem and poor academic performance. This;Bullying, depression, anxiety, selfesteem;0;0;0;0
6343;12.11.18 18:30;ProfBanks;1,06E+18;NA;So now p. protecting others from a shooter whileblack gets a person shot? Unbelievable. Black Lives Matter;whileblack, BlackLivesMatter;0;0;0;0
